English,German,Polish
apple,Apfel,jabłko
book,Buch,książka
car,Auto,samochód
dog,Hund,pies
cat,Katze,kot
house,Haus,dom
tree,Baum,drzewo
water,Wasser,woda
food,Essen,jedzenie
table,Tisch,stół
chair,Stuhl,krzesło
phone,Telefon,telefon
light,Licht,światło
window,Fenster,okno
sun,Sonne,słońce
moon,Mond,księżyc
sky,Himmel,niebo
star,Stern,gwiazda
night,Nacht,noc
day,Tag,dzień
man,Mann,mężczyzna
woman,Frau,kobieta
child,Kind,dziecko
friend,Freund,przyjaciel
family,Familie,rodzina
school,Schule,szkoła
teacher,Lehrer,nauczyciel
student,Schüler,uczeń
work,Arbeit,praca
job,Beruf,zawód
money,Geld,pieniądze
time,Zeit,czas
city,Stadt,miasto
village,Dorf,wieś
country,Land,kraj
world,Welt,świat
language,Sprache,język
letter,Buchstabe,litera
word,Wort,słowo
sentence,Satz,zdanie
computer,Computer,komputer
keyboard,Tastatur,klawiatura
mouse,Maus,myszka
screen,Bildschirm,ekran
internet,Internet,internet
game,Spiel,gra
music,Musik,muzyka
song,Lied,piosenka
dance,Tanz,taniec
movie,Film,film
bookshop,Buchladen,księgarnia
hospital,Krankenhaus,szpital
doctor,Arzt,lekarz
nurse,Krankenschwester,pielęgniarka
police,Polizei,policja
fire,Feuer,ogień
water,Wasser,woda
bread,Brot,chleb
cheese,Käse,ser
milk,Milch,mleko
egg,Ei,jajko
meat,Fleisch,mięso
fruit,Obst,owoc
vegetable,Gemüse,warzywo
sugar,Zucker,cukier
salt,Salz,sól
pepper,Pfeffer,pieprz
coffee,Kaffee,kawa
tea,Tee,herbata
wine,Wein,wino
beer,Bier,piwo
cold,kalt,zimno
hot,heiß,gorąco
happy,glücklich,szczęśliwy
sad,traurig,smutny
angry,wütend,zły
tired,müde,zmęczony
fast,schnell,szybki
slow,langsam,wolny
big,groß,duży
small,klein,mały
long,lang,długi
short,kurz,krótki
old,alt,stary
young,jung,młody
beautiful,schön,piękny
ugly,hässlich,brzydki
clean,sauber,czysty
dirty,schmutzig,brudny
new,neu,nowy
open,offen,otwarty
closed,geschlossen,zamknięty
yes,ja,tak
no,nein,nie
thank you,danke,dziękuję
please,bitte,proszę
hello,hallo,cześć
goodbye,auf Wiedersehen,do widzenia
